Milestone ID;Shipment ID;Milestone Sequence;Milestone Type;Planned Datetime;Actual Datetime;Milestone Status;Updated By;Update Notes;Update Timestamp
MS000022;SHP0003;2;Booking Confirmed;29/03/24;29/03/24 00.00;Completed;Kevin Halim;Loading preparation finalized;01/04/24 00.00
MS000023;SHP0003;3;Empty Container Pickup;30/03/24;30/03/24 02.00;Delayed;Andi Pratama;Carrier  confirmed vessel arrival;31/03/24 02.00
MS000024;SHP0003;4;Cargo Loading;03/04/24;03/04/24 02.00;Delayed;Budi Santoso;Cargo cleared for release;05/04/24 02.00
MS000025;SHP0003;5;Gate In;07/04/24;07/04/24 12.00;Completed;Fajar Nugroho;Delivery completed;07/04/24 12.00
MS000026;SHP0003;6;Documentation Complete;10/04/24;10/04/24 12.00;Completed;Andi Pratama;Release documentation approved;10/04/24 12.00
MS000027;SHP0003;7;Vessel Departure;13/04/24;14/04/24 00.00;Delayed;Indah Permata;Depot release completed;14/04/24 00.00
MS000028;SHP0003;8;Port Arrival;17/04/24;17/04/24 12.00;Completed;Budi Santoso;Carrier confirmed vessel arrival;19/04/24 12.00
MS000029;SHP0003;9;Customs Clearance;18/04/24;20/04/24 00.00;Delayed;Daniel Hartono;ETA achieved successfully;22/04/24 00.00
MS000030;SHP0003;10;Delivered;20/04/24;20/04/24 04.00;Completed;Fajar Nugroho;Container allocation confirmed;22/04/24 04.00
MS000031;SHP0004;1;Cargo Ready;09/04/24;09/04/24 00.00;Completed;Budi Santoso; Docs verified;11/04/24 00.00
MS000032;SHP0004;2;Booking Confirmed;12/04/24;12/04/24 00.00;Completed;Andi Pratama;;15/04/24 00.00
MS000033;SHP0004;3;Empty Container Pickup;16/04/24;17/04/24 00.00;Completed;Rizky Kurniawan;Carrier conf received;17/04/24 00.00
MS000034;SHP0004;4;Cargo Loading;20/04/24;20/04/24 02.00;Completed;Andi Pratama;Gate in completed before cut off;22/04/24 02.00
MS000035;SHP0004;5;Gate In;23/04/24;25/04/24 00.00;Delayed;Fajar Nugroho;Customs clearance completed;27/04/24 00.00
MS000036;SHP0004;6;Documentation Complete;26/04/24;26/04/24 12.00;Delayed;Cindy Wijaya;Carrier schedule update received;27/04/24 12.00
MS000037;SHP0004;7;Vessel Departure;28/04/24;30/04/24 00.00;Delayed;Kevin Halim;Port entry confirmed;03/05/24 00.00
MS000038;SHP0004;8;Port Arrival;30/04/24;30/04/24 08.00;Completed;Sarah Amelia;Customs declaration completed ;02/05/24 08.00
MS000039;SHP0004;9;Customs Clearance;03/05/24;05/05/24 00.00;Delayed;Daniel Hartono;Consignee notified of arrival;06/05/24 00.00
MS000040;SHP0004;10;Delivered;06/05/24;06/05/24 00.00;Completed;Andi Pratama;Loading preparation finalized;07/05/24 00.00
MS000041;SHP0005;1;Cargo Ready;16/02/24;16/02/24 12.00;Completed;Indah Permata; Container accepted by terminal;
MS000042;SHP0005;2;Booking Confirmed;17/02/24;17/02/24 12.00;Completed;Dimas Saputra;Customs clearance completed;18/02/24 12.00
MS000043;SHP0005;3;Empty Container Pickup;18/02/24;18/02/24 12.00;Completed;Budi Santoso;Cargo available for dispatch;18/02/24 12.00
MS000044;SHP0005;4;Cargo Loading;21/02/24;21/02/24 12.00;Completed;Kevin Halim;Delivery completed;22/02/24 12.00
MS000045;SHP0005;5;Gate In;22/02/24;22/02/24 08.00;Completed;Dimas Saputra;Shipment arrived as planned;24/02/24 08.00
MS000046;SHP0005;6;Documentation Complete;24/02/24;24/02/24 04.00;Completed;Cindy Wijaya;Export filing accepted;24/02/24 04.00
MS000047;SHP0005;7;Vessel Departure;25/02/24;25/02/24 12.00;Delayed;Fajar Nugroho;Sailing schedule confirmed;04/03/24 12.00
MS000048;SHP0005;8;Port Arrival;29/02/24;29/02/24 00.00;Completed;Cindy Wijaya;Port arrival confirmed;02/03/24 00.00
MS000049;SHP0005;9;Customs Clearance;03/03/24;03/03/24 12.00;Delayed;Andi Pratama;Customs review finalized;
MS000050;SHP0005;10;Delivered;04/03/24;04/03/24 12.00;Completed;Dimas Saputra;Loading preparation finalized;04/03/24 12.00
MS000051;SHP0006;1;Cargo Ready;26/01/24;26/01/24 02.00;Delayed;Maya Putri;Customs clearance completed;29/01/24 02.00
MS000052;SHP0006;2;Booking Confirmed;27/01/24;27/01/24 08.00;Completed;Maya Putri;Release order issued;29/01/24 08.00
MS000053;SHP0006;3;Empty Container Pickup;29/01/24;29/01/24 12.00;Completed;Fajar Nugroho;Packing list confirmed;31/01/24 12.00
MS000054;SHP0006;4;Cargo Loading;30/01/24;30/01/24 00.00;Completed;Dimas Saputra;Packing list confirmed;02/02/24 00.00
MS000055;SHP0006;5;Gate In;03/02/24;03/02/24 12.00;Completed;Dimas Saputra;Container stuffing completed;06/02/24 12.00
MS000056;SHP0006;6;Documentation Complete;04/02/24;06/02/24 00.00;Delayed;Budi Santoso;Terminal received container;06/02/24 00.00
MS000057;SHP0006;7;Vessel Departure;07/02/24;07/02/24 00.00;Completed;Indah Permata;Documentation review completed;07/02/24 00.00
MS000058;SHP0006;8;Port Arrival;10/02/24;12/02/24 00.00;Delayed;Budi Santoso;Cntr gated in;15/02/24 00.00
MS000059;SHP0006;9;Customs Clearance;11/02/24;12/02/24 02.00;Delayed;Indah Permata;Depot release completed;14/02/24 02.00
MS000060;SHP0006;10;Delivered;14/02/24;14/02/24 00.00;Completed;Andi Pratama;Operational note variation 80;14/02/24 00.00
MS000061;SHP0007;1;Cargo Ready;08/01/24;08/01/24 08.00;Delayed;Dimas Saputra;Customs declaration completed ;08/01/24 08.00
MS000062;SHP0007;2;Booking Confirmed;11/01/24;11/01/24 12.00;Completed;Budi Santoso;Carrier confirmed revised ETA;13/01/24 12.00
MS000063;SHP0007;3;Empty Container Pickup;12/01/24;12/01/24 00.00;Completed;Michael Gunawan;Container sealed after loading;15/01/24 00.00
MS000064;SHP0007;4;Cargo Loading;15/01/24;15/01/24 12.00;Completed;Andi Pratama;Cargo available for dispatch;15/01/24 12.00
MS000065;SHP0007;5;Gate In;17/01/24;17/01/24 02.00;Completed;Daniel Hartono;Container gated in successfully;17/01/24 02.00
MS000066;SHP0007;6;Documentation Complete;21/01/24;22/01/24 12.00;Delayed;Andi Pratama;Cargo available for dispatch;22/01/24 12.00
MS000067;SHP0007;7;Vessel Departure;24/01/24;24/01/24 00.00;Completed;Dimas Saputra;Carrier confirmed vessel arrival;24/01/24 00.00
MS000068;SHP0007;8;Port Arrival;25/01/24;25/01/24 12.00;Completed;Budi Santoso;Loading operation finalized;28/01/24 12.00
MS000069;SHP0007;9;Customs Clearance;28/01/24;28/01/24 12.00;Completed;Dimas Saputra;Customer acknowledged receipt;29/01/24 12.00
MS000070;SHP0007;10;Delivered;01/02/24;01/02/24 12.00;Completed;Andi Pratama;Operational note variation 79;02/02/24 12.00
MS000071;SHP0008;1;Cargo Ready;09/03/24;09/03/24 12.00;Delayed;Andi Pratama;Transit milestone verified;16/03/24 12.00
MS000072;SHP0008;2;Booking Confirmed;12/03/24;12/03/24 12.00;Delayed;Maya Putri;Departure confirmation received;14/03/24 12.00
MS000073;SHP0008;3;Empty Container Pickup;16/03/24;16/03/24 02.00;Completed;Andi Pratama;Customs review finalized;27/03/24 02.00
MS000074;SHP0008;4;Cargo Loading;18/03/24;18/03/24 08.00;Delayed;Cindy Wijaya;Export filing accepted;01/04/24 08.00
MS000075;SHP0008;5;Gate In;22/03/24;22/03/24 12.00;Delayed;Budi Santoso;Customs review finalized;25/03/24 12.00
MS000076;SHP0008;6;Documentation Complete;26/03/24;26/03/24 02.00;Completed;Michael Gunawan;Booking reference received;28/03/24 02.00
MS000077;SHP0008;7;Vessel Departure;30/03/24;01/04/24 00.00;Delayed;Budi Santoso;Final delivery confirmed;12/04/24 00.00
MS000078;SHP0008;8;Port Arrival;03/04/24;04/04/24 12.00;delayed;Dimas Saputra;Loading preparation finalized;07/04/24 12.00
MS000079;SHP0008;9;Customs Clearance;04/04/24;05/04/24 00.00;Completed;Dimas Saputra;Container allocation confirmed;08/04/24 00.00
MS000080;SHP0008;10;Delivered;05/04/24;05/04/24 12.00;Completed;Maya Putri;Awaiting container allocation;13/04/24 12.00
MS000081;SHP0009;1;Cargo Ready;15/04/24;15/04/24 12.00;Completed;Kevin Halim;Shipment arrived as planned;15/04/24 12.00
MS000082;SHP0009;2;Booking Confirmed;18/04/24;18/04/24 02.00;Delayed;Budi Santoso;AFR submitted successfully;18/04/24 02.00
MS000083;SHP0009;3;Empty Container Pickup;19/04/24;19/04/24 00.00;Completed;Sarah Amelia;Docs submitted;20/04/24 00.00
MS000084;SHP0009;4;Cargo Loading;21/04/24;21/04/24 00.00;Completed;Rizky Kurniawan;Booking reference received;24/04/24 00.00
MS000085;SHP0009;5;Gate In;23/04/24;23/04/24 12.00;delayed;Kevin Halim;Operational note variation 80;25/04/24 12.00
MS000086;SHP0009;6;Documentation Complete;25/04/24;26/04/24 00.00;Completed;Andi Pratama;ETA achieved successfully;27/04/24 00.00
MS000087;SHP0009;7;Vessel Departure;26/04/24;26/04/24 00.00;Completed;Budi Santoso;Packing list confirmed;28/04/24 00.00
MS000088;SHP0009;8;Port Arrival;29/04/24;29/04/24 08.00;Delayed;Sarah Amelia;Cargo handed over to consignee;02/05/24 08.00
MS000089;SHP0009;9;Customs Clearance;02/05/24;02/05/24 12.00;Completed;Indah Permata;Booking confirmed by carrier;05/05/24 12.00
MS000090;SHP0009;10;Delivered;04/05/24;04/05/24 02.00;Delayed;Budi Santoso;Shipment tracking updated;
MS000091;SHP0010;1;Cargo Ready;02/03/24;02/03/24 00.00;completed;Kevin Halim;Container allocation confirmed;02/03/24 00.00
MS000092;SHP0010;2;Booking Confirmed;04/03/24;04/03/24 12.00;Completed;Sarah Amelia;Booking reference received;07/03/24 12.00
MS000093;SHP0010;3;Empty Container Pickup;08/03/24;08/03/24 12.00;Delayed;Budi Santoso;Operational note variation 80;11/03/24 12.00
MS000094;SHP0010;4;Cargo Loading;11/03/24;13/03/24 00.00;Delayed;Indah Permata;Transit milestone verified;13/03/24 00.00
MS000095;SHP0010;5;Gate In;15/03/24;15/03/24 12.00;Completed;Rizky Kurniawan;Consignee notified of arrival;18/03/24 12.00
MS000096;SHP0010;6;Documentation Complete;18/03/24;18/03/24 12.00;Completed;Cindy Wijaya;Release order issued;29/03/24 12.00
MS000097;SHP0010;7;Vessel Departure;22/03/24;22/03/24 00.00;DELAYED;Sarah Amelia;Operational note variation 80;22/03/24 00.00
MS000098;SHP0010;8;Port Arrival;23/03/24;25/03/24 00.00;delayed;Cindy Wijaya;Empty container collected from depot;25/03/24 00.00
MS000099;SHP0010;9;Customs Clearance;25/03/24;27/03/24 00.00;Delayed;Dimas Saputra;Cargo loaded successfully;30/03/24 00.00
MS000100;SHP0010;10;Delivered;26/03/24;27/03/24 12.00;Delayed;Cindy Wijaya;Vessel left origin port;28/03/24 12.00
MS000101;SHP0011;1;Cargo Ready;10/02/24;10/02/24 00.00;Completed;Michael Gunawan;Customs review finalized;11/02/24 00.00
MS000102;SHP0011;2;Booking Confirmed;11/02/24;11/02/24 12.00;Completed;Kevin Halim;Sailing schedule confirmed;12/02/24 12.00
MS000103;SHP0011;3;Empty Container Pickup;12/02/24;12/02/24 12.00;Delayed;Budi Santoso;Vessel departed as scheduled;13/02/24 12.00
MS000104;SHP0011;4;Cargo Loading;13/02/24;13/02/24 12.00;Completed;Indah Permata;Proof of delivery received;
MS000105;SHP0011;5;Gate In;14/02/24;16/02/24 00.00;Delayed;Fajar Nugroho;Booking confirmed by carrier;16/02/24 00.00
MS000106;SHP0011;6;Documentation Complete;15/02/24;16/02/24 00.00;Completed;Nadia Prasetyo;Departure confirmation received;19/02/24 00.00
MS000107;SHP0011;7;Vessel Departure;16/02/24;16/02/24 08.00;Completed;Jessica Putri;Carrier confirmed vessel departure;19/02/24 08.00
MS000108;SHP0011;8;Port Arrival;19/02/24;19/02/24 12.00;Completed;Andi Pratama;Carrier booking validated;21/02/24 12.00
MS000109;SHP0011;9;Customs Clearance;23/02/24;23/02/24 12.00;Completed;Sarah Amelia;Container received for loading;06/03/24 12.00
MS000110;SHP0011;10;Delivered;27/02/24;27/02/24 00.00;Completed;Indah Permata;Carrier confirmed vessel departure;28/02/24 00.00
MS000111;SHP0012;1;Cargo Ready;20/02/24;20/02/24 12.00;DELAYED;Indah Permata;Container entered terminal yard;21/02/24 12.00
MS000112;SHP0012;2;Booking Confirmed;23/02/24;23/02/24 00.00;completed;Indah Permata;Transit milestone verified;24/02/24 00.00
MS000113;SHP0012;3;Empty Container Pickup;24/02/24;24/02/24 00.00;Completed;Dimas Saputra;Pickup completed successfully;06/03/24 00.00
MS000114;SHP0012;4;Cargo Loading;25/02/24;25/02/24 12.00;Delayed;Kevin Halim;Depot release completed;27/02/24 12.00
MS000115;SHP0012;5;Gate In;26/02/24;28/02/24 00.00;Delayed;Cindy Wijaya;Shipment status updated to in transit;01/03/24 00.00
MS000116;SHP0012;6;Documentation Complete;28/02/24;28/02/24 12.00;Completed;Dimas Saputra;Sailing schedule confirmed;28/02/24 12.00
MS000117;SHP0012;7;Vessel Departure;01/03/24;01/03/24 02.00;Completed;Fajar Nugroho;Loading preparation finalized;10/03/24 02.00
MS000118;SHP0012;8;Port Arrival;03/03/24;03/03/24 12.00;Delayed;Indah Permata;VGM submitted successfully;05/03/24 12.00
MS000119;SHP0012;9;Customs Clearance;07/03/24;07/03/24 00.00;Completed;Dimas Saputra;Documentaion approved;10/03/24 00.00
MS000120;SHP0012;10;Delivered;08/03/24;08/03/24 00.00;Completed;Kevin Halim;Documentation review completed;11/03/24 00.00
MS000121;SHP0013;1;Cargo Ready;28/03/24;28/03/24 00.00;Completed;Cindy Wijaya;Vessel allocation confirmed;08/04/24 00.00
MS000122;SHP0013;2;Booking Confirmed;29/03/24;29/03/24 12.00;Completed;Andi Pratama;Consignee notified of arrival;31/03/24 12.00
MS000123;SHP0013;3;Empty Container Pickup;01/04/24;01/04/24 12.00;Completed;Andi Pratama;Carrier confirmed revised ETA;01/04/24 12.00
MS000124;SHP0013;4;Cargo Loading;03/04/24;03/04/24 02.00;Completed;Budi Santoso;Customs clearance completed;04/04/24 02.00
MS000125;SHP0013;5;Gate In;05/04/24;08/04/24 00.00;Delayed;Kevin Halim;Pickup completed successfully;09/04/24 00.00
MS000126;SHP0013;6;Documentation Complete;09/04/24;09/04/24 08.00;Completed;Indah Permata;Customs declaration completed;09/04/24 08.00
MS000127;SHP0013;7;Vessel Departure;10/04/24;10/04/24 00.00;Completed;Cindy Wijaya;ETD achieved successfully;12/04/24 00.00
MS000128;SHP0013;8;Port Arrival;11/04/24;11/04/24 08.00;Completed;Andi Pratama;Operational note variation 79;14/04/24 08.00
MS000129;SHP0013;9;Customs Clearance;13/04/24;13/04/24 12.00;Delayed;Andi Pratama;Gate transaction completed;15/04/24 12.00
MS000130;SHP0013;10;Delivered;14/04/24;14/04/24 00.00;Completed;Fajar Nugroho;Container received for loading;17/04/24 00.00
MS000131;SHP0014;1;Cargo Ready;05/05/24;05/05/24 08.00;Delayed;Fajar Nugroho;Cargo handed over to consignee;05/05/24 08.00
MS000132;SHP0014;2;Booking Confirmed;07/05/24;07/05/24 12.00;Delayed;Budi Santoso;Cargo handed over to consignee;10/05/24 12.00
MS000133;SHP0014;3;Empty Container Pickup;08/05/24;08/05/24 02.00;Completed;Cindy Wijaya;Container allocation confirmed;11/05/24 02.00
MS000134;SHP0014;4;Cargo Loading;11/05/24;13/05/24 00.00;Delayed;Kevin Halim;Container stuffing completed;14/05/24 00.00
MS000135;SHP0014;5;Gate In;15/05/24;20/05/24 00.00;Delayed;Cindy Wijaya;ETD achieved successfully;17/05/24 12.00
MS000136;SHP0014;6;Documentation Complete;19/05/24;19/05/24 12.00;Delayed;Daniel Hartono;Cargo loading completed;20/05/24 12.00
MS000137;SHP0014;7;Vessel Departure;20/05/24;20/05/24 12.00;Completed;Rafi Kurnia;Clearance approval received;20/05/24 12.00
MS000138;SHP0014;8;Port Arrival;24/05/24;26/05/24 00.00;Delayed;Cindy Wijaya;Delivery completed;26/05/24 00.00
MS000139;SHP0014;9;Customs Clearance;27/05/24;30/05/24 00.00;Delayed;Dimas Saputra;Cargo loaded successfully;02/06/24 00.00
MS000140;SHP0014;10;Delivered;28/05/24;30/05/24 08.00;Delayed;Kevin Halim;Container sealed after loading;30/05/24 08.00
MS000141;SHP0015;1;Cargo Ready;13/01/24;13/01/24 12.00;Delayed;Indah Permata;Booking confirmed by carrier;16/01/24 12.00
MS000142;SHP0015;2;Booking Confirmed;14/01/24;14/01/24 00.00;Completed;Cindy Wijaya;Shipment arrived as planned;14/01/24 00.00
MS000143;SHP0015;3;Empty Container Pickup;18/01/24;18/01/24 02.00;Completed;Maya Putri;Carrier accepted booking request;19/01/24 02.00
MS000144;SHP0015;4;Cargo Loading;21/01/24;21/01/24 12.00;Delayed;Cindy Wijaya;Container ready for gate in;21/01/24 12.00
MS000145;SHP0015;5;Gate In;23/01/24;23/01/24 12.00;Completed;Budi Santoso;Vessel left origin port;26/01/24 12.00
MS000146;SHP0015;6;Documentation Complete;24/01/24;24/01/24 12.00;Completed;Andi Pratama;Loading preparation finalized;25/01/24 12.00
MS000147;SHP0015;7;Vessel Departure;27/01/24;27/01/24 00.00;Completed;Maya Putri;Commercial invoice verified;29/01/24 00.00
MS000148;SHP0015;8;Port Arrival;30/01/24;30/01/24 00.00;Completed;Dimas Saputra;Shipment status updated to in transit;31/01/24 00.00
MS000149;SHP0015;9;Customs Clearance;01/02/24;01/02/24 12.00;Delayed;Dimas Saputra;Cargo cleared for release;03/02/24 12.00
MS000150;SHP0015;10;Delivered;02/02/24;02/02/24 12.00;Completed;Daniel Hartono;Port entry confirmed;03/02/24 12.00
MS000151;SHP0016;1;Cargo Ready;10/06/24;10/06/24 04.00;Completed;Indah Permata;Documentation approved;11/06/24 04.00
MS000152;SHP0016;2;Booking Confirmed;14/06/24;15/06/24 00.00;Delayed;;Sailing schedule confirmed;15/06/24 00.00
MS000153;SHP0016;3;Empty Container Pickup;15/06/24;15/06/24 02.00;Completed;Kevin Halim;Vessel departed as scheduled;16/06/24 02.00
MS000154;SHP0016;4;Cargo Loading;19/06/24;19/06/24 12.00;Completed;Cindy Wijaya;;19/06/24 12.00
MS000155;SHP0016;5;Gate In;23/06/24;25/06/24 00.00;Delayed;Fajar Nugroho;Cargo inspection completed;27/06/24 00.00
MS000156;SHP0016;6;Documentation Complete;24/06/24;25/06/24 00.00;delayed;Budi Santoso;Container dispatched to customer site;26/06/24 00.00
MS000157;SHP0016;7;Vessel Departure;25/06/24;25/06/24 00.00;Completed;Andi Pratama;Shipping documents verified;25/06/24 00.00
MS000158;SHP0016;8;Port Arrival;27/06/24;27/06/24 12.00;Delayed;Rizky Kurniawan;ETD achieved successfully;29/06/24 12.00
MS000159;SHP0016;9;Customs Clearance;29/06/24;29/06/24 12.00;Delayed;Maya Putri;Operational update recorded;01/07/24 12.00
MS000160;SHP0016;10;Delivered;30/06/24;02/07/24 00.00;DELAYED;Andi Pratama;Vessel allocation confirmed;04/07/24 00.00
MS000161;SHP0017;1;Cargo Ready;15/01/24;15/01/24 00.00;Completed;Indah Permata;ETD achieved successfully;17/01/24 00.00
MS000162;SHP0017;2;Booking Confirmed;18/01/24;19/01/24 00.00;Delayed;Dimas Saputra;Shipment arrived as planned;20/01/24 00.00
MS000163;SHP0017;3;Empty Container Pickup;21/01/24;21/01/24 00.00;Completed;Michael Gunawan;Cargo cleared for release;31/01/24 00.00
MS000164;SHP0017;4;Cargo Loading;24/01/24;26/01/24 00.00;Delayed;Budi Santoso;Operational note variation 80;29/01/24 00.00
MS000165;SHP0017;5;Gate In;27/01/24;29/01/24 00.00;Delayed;;Shipment delivered successfully;01/02/24 00.00
MS000166;SHP0017;6;Documentation Complete;29/01/24;29/01/24 08.00;Completed;Nadia Prasetyo;Customs declaration completed;30/01/24 08.00
MS000167;SHP0017;7;Vessel Departure;31/01/24;02/02/24 00.00;Delayed;Fajar Nugroho;ETA achieved successfully;02/02/24 00.00
MS000168;SHP0017;8;Port Arrival;04/02/24;04/02/24 04.00;Delayed;Cindy Wijaya;Cargo loading completed;05/02/24 04.00
MS000169;SHP0017;9;Customs Clearance;06/02/24;06/02/24 12.00;Completed;Dimas Saputra;Shipment delivered successfully;08/02/24 12.00
MS000170;SHP0017;10;Delivered;07/02/24;07/02/24 04.00;Completed;Dimas Saputra;Vessel departed as scheduled;09/02/24 04.00
MS000171;SHP0018;1;Cargo Ready;10/03/24;10/03/24 12.00;Completed;Rizky Kurniawan;Cargo available for dispatch;13/03/24 12.00
MS000172;SHP0018;2;Booking Confirmed;14/03/24;14/03/24 12.00;Completed;Andi Pratama;VGM submitted successfully;17/03/24 12.00
MS000173;SHP0018;3;Empty Container Pickup;18/03/24;18/03/24 12.00;Delayed;Budi Santoso;;19/03/24 12.00
MS000174;SHP0018;4;Cargo Loading;20/03/24;22/03/24 00.00;Delayed;Rafi Kurnia;Cargo cleared for release;25/03/24 00.00
MS000175;SHP0018;5;Gate In;22/03/24;22/03/24 12.00;Completed;Cindy Wijaya;Vessel departed as scheduled;24/03/24 12.00
MS000176;SHP0018;6;Documentation Complete;24/03/24;24/03/24 00.00;completed;Cindy Wijaya;Final milestone completed;25/03/24 00.00
MS000177;SHP0018;7;Vessel Departure;26/03/24;26/03/24 12.00;Delayed;Dimas Saputra;Port entry confirmed;29/03/24 12.00
MS000178;SHP0018;8;Port Arrival;28/03/24;28/03/24 00.00;Completed;Cindy Wijaya;Terminal received container;30/03/24 00.00
MS000179;SHP0018;9;Customs Clearance;29/03/24;29/03/24 12.00;Completed;Andi Pratama;VGM submitted successfully;29/03/24 12.00
MS000180;SHP0018;10;Delivered;02/04/24;02/04/24 12.00;Delayed;Fajar Nugroho;VGM submitted successfully;02/04/24 12.00
MS000181;SHP0019;1;Cargo Ready;04/01/24;04/01/24 00.00;Completed;Dimas Saputra;Clearance approval received;07/01/24 00.00
MS000182;SHP0019;2;Booking Confirmed;07/01/24;07/01/24 12.00;Completed;Andi Pratama;AFR submitted successfully;07/01/24 12.00
MS000183;SHP0019;3;Empty Container Pickup;11/01/24;13/01/24 00.00;Delayed;Sarah Amelia;Cargo loading completed;14/01/24 00.00
MS000184;SHP0019;4;Cargo Loading;15/01/24;15/01/24 12.00;Completed;Kevin Halim;Depot release completed;18/01/24 12.00
MS000185;SHP0019;5;Gate In;19/01/24;08/02/24 00.00;Delayed;Andi Pratama;Customs declaration completed ;20/01/24 02.00
MS000186;SHP0019;6;Documentation Complete;20/01/24;20/01/24 12.00;Delayed;Maya Putri;Final delivery confirmed;20/01/24 12.00
MS000187;SHP0019;7;Vessel Departure;23/01/24;23/01/24 12.00;Delayed;Cindy Wijaya;Pickup completed successfully;24/01/24 12.00
MS000188;SHP0019;8;Port Arrival;27/01/24;27/01/24 04.00;Delayed;Cindy Wijaya;Docs submitted;27/01/24 04.00
MS000189;SHP0019;9;Customs Clearance;30/01/24;30/01/24 12.00;Completed;Daniel Hartono;Container dispatched to customer site;08/02/24 12.00
MS000190;SHP0019;10;Delivered;02/02/24;02/02/24 08.00;Completed;Nadia Prasetyo;Proof of delivery received;03/02/24 08.00
MS000191;SHP0020;1;Cargo Ready;27/03/24;27/03/24 08.00;Completed;Sarah Amelia;Customs clearance completed;04/04/24 08.00
MS000192;SHP0020;2;Booking Confirmed;29/03/24;29/03/24 02.00;Delayed;Budi Santoso;Gate transaction completed;31/03/24 02.00
MS000193;SHP0020;3;Empty Container Pickup;02/04/24;02/04/24 12.00;Delayed;Nadia Prasetyo;Cargo cleared for release;05/04/24 12.00
MS000194;SHP0020;4;Cargo Loading;06/04/24;06/04/24 02.00;Completed;Fajar Nugroho;Shipping documents verified;08/04/24 02.00
MS000195;SHP0020;5;Gate In;08/04/24;08/04/24 12.00;Delayed;Kevin Halim;;09/04/24 12.00
MS000196;SHP0020;6;Documentation Complete;09/04/24;09/04/24 04.00;Completed;Andi Pratama;Container entered terminal yard;09/04/24 04.00
MS000197;SHP0020;7;Vessel Departure;12/04/24;12/04/24 04.00;Delayed;Kevin Halim;Carrier schedule update received;15/04/24 04.00
MS000198;SHP0020;8;Port Arrival;13/04/24;13/04/24 12.00;Delayed;Fajar Nugroho;Shpt status updated;13/04/24 12.00
MS000199;SHP0020;9;Customs Clearance;14/04/24;17/04/24 00.00;Delayed;Kevin Halim;Container stuffing completed;17/04/24 00.00
MS000200;SHP0020;10;Delivered;16/04/24;17/04/24 12.00;DELAYED;Indah Permata;Booking reference received;20/04/24 12.00
MS000201;SHP0021;1;Cargo Ready;25/05/24;25/05/24 04.00;Delayed;Budi Santoso;Release documentation approved;25/05/24 04.00
