Shipment ID;Booking Number;BL Number;Customer Name;Incoterm;Cargo Type;Commodity;Cargo Volume CBM;Container Type;Container Qty;Origin Port;Destination Port;Vessel Name;Shipping Line;ETD;ETA;Actual Departure;Actual Arrival;Cut Off Time;Closing Time;Total Charge USD;Shipment Status;Priority Level;PIC Name;Created Date;Last Update Timestamp
SHP0019;BKG000019;BL000019;PT Skyline Distribution;DAP;FCL;Consumer Electronics;88.69;20GP;2;Singapore;Surabaya;MV Blue Horizon;OceanLink Shipping;05/12/24;08/12/24 00.00;05/12/24 07.00;07/12/24 16.00;03/12/24;04/12/24;7232.60;Customs Clearance;Low;Indah Permata;25/11/24;14/12/24
SHP0020;BKG000020;BL000020;PT Velocity Electronics;FOB;LCL;Consumer Electronics;72.36.00;20GP;7;Singapore;Surabaya;MV Ocean Star;BlueWave Lines;30/11/24;07/12/24 00.00;03/12/24 00.00;09/12/24 16.00;28/11/24;29/11/24;8497.40.00;Delivered;Low;Indah Permata;20/11/24;09/12/24
SHP0021;BKG000021;BL000021;PT Nova Electronics;CIF;FCL;Textiles;64.44.00;20GP;3;Singpore;Jakarta;MV Ocean Star;OceanLink  Shipping;01/10/24;08/10/24 00.00;01/10/24 09.00;;29/09/24;30/09/24;7585.60;Customs Clearance;Medium;Sarah Amelia;21/09/24;16/10/24
SHP0022;BKG000022;BL000022;PT Aurora Trading;FOB;FCL;Consumer Electronics;66.51.00;40HC;4;Hong Kong;Jakarta;MV Eastern Pearl;Pacific Horizon Shipping;13/09/24;27/09/24 00.00;;;11/09/24;12/09/24;7131.40.00;At Origin;Low;Yoga Mahendra;03/09/24;26/09/24
SHP0023;BKG000023;BL000023;PT Zenith Industrial;CIF;LCL;Industrial Equipment;88.41.00;20GP;1;Singapore;Semarang;MV Coral Voyager;OceanLink Shipping;22/07/24;01/08/24 00.00;22/07/24 02.00;02/08/24 20.00;20/07/24;21/07/24;6159.40.00;Delivered;Medium;Cindy Wijaya;12/07/24;04/08/24
SHP0024;BKG000024;BL000024;PT Aurora Trading;FOB;LCL;Chemicals;0,684722222;40GP;1;Port Klang;Surabaya;MV Crystal Mariner;BlueWave Lines;27/10/24;06/11/24 00.00;04/11/24 00.00;08/11/24 10.00;25/10/24;26/10/24;2623.40.00;Customs Clearance;Medium;Yoga Mahendra;17/10/24;02/11/24
SHP0025;BKG000025;BL000025;PT Falcon Dynamics;CIF;FCL;Consumer Electronics;25.25.00;20GP;3;Shenzhen;Jakarta;MV Eastern Pearl;Northstar Freight Lines;24/07/24;31/07/24 00.00;24/07/24 00.00;;22/07/24;23/07/24;5778.00.00;In Transit;Medium;Yoga Mahendra;14/07/24;10/08/24
SHP0026;BKG000026;BL000026;PT Ocean Retail Group;EXW;LCL;Food Products;15.15;40HC;3;Singapore;Semarang;MV Blue Horizon;Pacific Horizon Shipping ;02/09/25;05/09/25 00.00;02/09/25 07.00;;31/08/25;01/09/25;3207.00.00;In Transit;Low;Budi Santoso;23/08/25;21/09/25
SHP0027;BKG000027;BL000027;PT Skyline Distribution;FOB;FCL;Chemicals;58.07.00;20GP;7;Shenzhen;Jakarta;MV Horizon Carrier;Archipelago Maritime;28/03/24;05/04/24 00.00;28/03/24 06.00;;26/03/24;27/03/24;8426.80;In Transit;Low;Kevin Halim;18/03/24;29/03/24
SHP0028;BKG000028;BL000028;PT Zenith Industrial;FOB;LCL;Industrial Equipment;73.21.00;40GP;4;Busan;Jakarta;MV Sea Pioneer;OCEANLINK SHIPPING;04/04/24;18/04/24 00.00;04/04/24 02.00;;02/04/24;03/04/24;7209.40.00;At Origin;Low;Fajar Nugroho;25/03/24;20/04/24
SHP0029;BKG000029;BL000029;PT Prime Components;FOB;FCL;Industrial Equipment;24.35.00;40HC;5;Hong Kong;Jakarta;MV Coastal Venture;BlueWave Lines;22/07/24;01/08/24 00.00;21/07/24 21.00;02/08/24 09.00;20/07/24;21/07/24;5101.00.00;Customs Clearance;Low;Yoga Mahendra;12/07/24;29/07/24
SHP0030;BKG000030;BL000030;PT Vertex Manufacturing;FOB;FCL;Industrial Equipment;324.00.00;40GP;18;Port Klang;Jakarta;MV Blue Horizon;BlueWave Lines;22/04/25;25/04/25 00.00;;;20/04/25;21/04/25;42555.00;At Origin;Medium;Rizky Kurniawan;12/04/25;29/04/25
SHP0031;BKG000031;BL000031;PT Titan Fabrication;DAP;LCL;Chemicals;55.10.00;40HC;5;Port Klangg;Semarang;MV Emerald Passage;Global Route Shipping;20/06/25;25/06/25 00.00;;;18/06/25;19/06/25;6629.00.00;At Origin;Low;Dimas Saputra;10/06/25;26/06/25
SHP0032;BKG000032;BL000032;PT Polaris Trading;EXW;LCL;Food Products;29.81;40GP;1;Port Klang;Surabaya;MV Ocean Star;BlueWave Lines;24/05/24;02/06/24 00.00;01/06/24 00.00;;22/05/24;23/05/24;5302.40.00;In Transit;Low;Fajar Nugroho;14/05/24;03/06/24
SHP0033;BKG000033;BL000033;PT Vertex Manufacturing;DAP;LCL;Industrial Equipment;77.17.00;40GP;2;Singapore;Semarang;MV Blue Horizon;BlueWave Lines;19/03/24;22/03/24 00.00;19/03/24 21.00;21/03/24 20.00;17/03/24;18/03/24;7228.56.00;Customs Clearance;High;Budi Santoso;09/03/24;30/03/24
SHP0034;BKG000034;BL000034;PT Terra Logistics Partners;EXW;FCL;Consumer Electronics;06.35;40HC;7;Shenzhen;Jakarta;MV Silver Current;OceanLink Shipping;08/10/25;16/10/25 00.00;07/10/25 22.00;;06/10/25;07/10/25;4294.00.00;At Origin;Low;Andi Pratama;28/09/25;13/10/25
SHP0035;BKG000035;BL000035;PT Ocean Retail Group;DAP;LCL;Chemicals;28.47.00;40HC;7;Singapore;Jakarta;MV Coral Voyager;BlueWave Lines;30/10/25;07/11/25 00.00;;;28/10/25;29/10/25;6479.80;At Origin;Low;Dimas Saputra;20/10/25;10/11/25
SHP0036;BKG000036;BL000036;PT Nova Electronics;CIF;LCL;Textiles;10.02;20GP;6;Port Klang;Jakarta;MV Eastern Pearl;BlueWave Lines ;02/04/24;06/04/24 00.00;;;31/03/24;01/04/24;5711.80;At Origin;Low;Indah Permata;23/03/24;19/04/24
SHP0037;BKG000037;BL000037;PT Horizon Industries;DAP;FCL;Textiles;48.57.00;20GP;2;Port Klang;Jakarta;MV Meridian Star;BlueWave Lines;11/08/25;18/08/25 00.00;13/08/25 00.00;18/08/25 21.00;09/08/25;10/08/25;6822.96;Customs Clearance;High;Fajar Nugroho;01/08/25;13/08/25
SHP0038;BKG000038;BL000038;PT Pacific Consumer Goods;FOB;FCL;Food Products;83.86;40HC;8;Shenzhen;Jakarta;MV Coral Voyager;Pacific Horizon Shipping;16/05/25;31/05/25 00.00;16/05/25 22.00;01/06/25 18.00;14/05/25;15/05/25;9442.40.00;Delivered;Low;Kevin Halim;06/05/25;03/06/25
SHP0039;BKG000039;BL000039;PT Stellar Commerce;DAP;FCL;Industrial Equipment;48.49.00;40GP;2;Singapore;Jakarta;MV Southern Crest;BlueWave Lines;08/02/24;16/02/24 00.00;08/02/24 17.00;15/02/24 22.00;06/02/24;07/02/24;5350.60;Customs Clearance;Low;Cindy Wijaya;29/01/24;09/02/24
SHP0040;BKG000040;BL000040;PT Aurora Trading;CIF;LCL;Textiles;0,9625;20GP;1;Shenzhen;Semarang;MV Northern Tide;Pacific Horizon Shipping;22/10/25;04/11/25 00.00;;;20/10/25;21/10/25;3543.40.00;At Origin;Low;Budi Santoso;12/10/25;31/10/25
SHP0041;BKG000041;BL000041;PT Prime Components;DAP;LCL;Industrial Equipment;62.07.00;20GP;1;Port Klang;Semarang;MV Sea Pioneer;OceanLink Shipping;13/12/25;23/12/25 00.00;12/12/25 23.00;;11/12/25;12/12/25;5291.80;In Transit;Medium;Cindy Wijaya;03/12/25;21/12/25
SHP0042;BKG000042;BL000042;PT Ocean Retail Group;EXW;FCL;Chemicals;44.68;40HC;1;Hong Kong;Jakarta;MV Pacific Trader;Pacific Horizon Shipping;30/09/25;07/10/25 00.00;30/09/25 19.00;;28/09/25;29/09/25;5390.20.00;In Transit;Low;Budi Santoso;20/09/25;02/10/25
SHP0043;BKG000043;BL000043;PT Summit Foods;FOB;FCL;Industrial Equipment;0,804166667;40HC;8;Singapore ;Surabaya;MV Coastal Venture;Northstar Freight Lines;25/04/24;01/05/24 00.00;28/04/24 00.00;;23/04/24;24/04/24;6204.20.00;Customs Clearance;Low;Dimas Saputra;15/04/24;29/04/24
SHP0044;BKG000044;BL000044;PT Alpha Manufacturing;CIF;LCL;Industrial Equipment;441.00.00;40GP;24;Singapore;Jakarta;MV Blue Horizon;OceanLink Shipping;06/05/24;13/05/24 00.00;;;04/05/24;05/05/24;47869.00;At Origin;Low;Maya Putri;26/04/24;18/05/24
SHP0045;BKG000045;BL000045;PT Skyline Distribution;EXW;FCL;Food Products;05.07;20GP;1; Port Klang;Jakarta;MV Pacific Trader;BlueWave Lines;02/10/25;05/10/25 00.00;02/10/25 17.00;06/10/25 13.00;30/09/25;01/10/25;4240.80;Customs Clearance;Low;Budi Santoso;22/09/25;22/10/25
SHP0046;BKG000046;BL000046;PT Alpha Manufacturing;FOB;FCL;Consumer Electronics;74.69;20GP;8;Busan;Jakarta;MV Pacific Trader;OceanLink  Shipping;31/10/24;09/11/24 00.00;31/10/24 23.00;;29/10/24;30/10/24;8669.60;At Origin;Low;Sarah Amelia;21/10/24;16/11/24
SHP0047;BKG000047;BL000047;PT Ocean Retail Group;CIF;LCL;Industrial Equipment;42.55.00;40HC;2;Hong Kong;Jakarta;MV Ocean Star;BlueWave Lines;03/06/24;11/06/24 00.00;03/06/24 11.00;14/06/24 16.00;01/06/24;02/06/24;6202.00.00;Delivered;Low;Budi Santoso;24/05/24;21/06/24
SHP0048;BKG000048;BL000048;PT Pacific Consumer Goods;DAP;FCL;Chemicals;10.49;40GP;8;Shanghai;Jakarta;MV Coral Voyager;OceanLink Shipping;14/03/24;24/03/24 00.00;14/03/24 01.00;;12/03/24;13/03/24;5656.60;In Transit;Low;Nadia Lestari;04/03/24;24/03/24
SHP0049;BKG000049;BL000049;PT Nova Electronics;CIF;FCL;Chemicals;0,966666667;40GP;4;Port Klang;Jakarta;MV Eastern Pearl;Pacific Horizon Shipping;25/03/25;02/04/25 00.00;25/03/25 17.00;;23/03/25;24/03/25;4490.80;In Transit;Medium;Andi Pratama;15/03/25;09/04/25
SHP0050;BKG000050;BL000050;PT Aurora Trading;DAP;FCL;Industrial Equipment;22.49;20GP;4;Hong Kong;Jakarta;MV Blue Horizon;BlueWave Lines;04/04/25;18/04/25 00.00;05/04/25 00.00;;02/04/25;03/04/25;5109.12.00;In Transit;High;Fajar Nugroho;25/03/25;13/04/25
SHP0051;BKG000051;BL000051;PT Falcon Dynamics;DAP;FCL;Consumer Electronics;34.45.00;20GP;1;Shanghai;Surabaya;MV Atlas Voyager;Maritime Connect Lines;27/12/25;11/01/26 00.00;27/12/25 12.00;;25/12/25;26/12/25;3635.00.00;In Transit;Medium;Kevin Halim;17/12/25;10/01/26
SHP0052;BKG000052;BL000052;PT Ocean Retail Group;EXW;FCL;Food Products;0,480555556;40GP;3;Busan;Jakarta;MV Atlas Voyager;BlueWave Lines;22/05/25;29/05/25 00.00;22/05/25 07.00;;20/05/25;21/05/25;3881.80;Customs Clearance;Medium;Budi Santoso;12/05/25;01/06/25
SHP0053;BKG000053;BL000053;PT Velocity Electronics;EXW;FCL;Industrial Equipment;58.71;40GP;7;Shanghai;Jakarta;MV Coral Voyager;OceanVista Carriers;28/02/25;15/03/25 00.00;28/02/25 07.00;17/03/25 03.00;26/02/25;27/02/25;6925.40.00;Delivered;Low;Sarah Amelia;18/02/25;12/03/25
SHP0054;BKG000054;BL000054;PT Pacific Consumer Goods;EXW;FCL;Textiles;56.75;40GP;3;Shanghai;Surabaya;MV Atlas Voyager;OceanLink Shipping;18/10/25;30/10/25 00.00;20/10/25 00.00;29/10/25 01.00;16/10/25;17/10/25;6736.00.00;Delivered;Low;Budi Santoso;08/10/25;03/11/25
SHP0055;BKG000055;BL000055;PT Stellar Commerce;EXW;LCL;Consumer Electronics;55.47.00;40HC;7;Singapore;Semarang;MV Pacific Trader;OceanLink Shipping;14/02/24;18/02/24 00.00;14/02/24 07.00;;12/02/24;13/02/24;7663.80;In Transit;Low;Indah Permata;04/02/24;21/02/24
SHP0056;BKG000056;BL000056;PT Ocean Retail Group;CIF;LCL;Industrial Equipment;0,557638889;20GP;4;Singapore;Jakarta;MV Coral Voyager;TransMarine Logistics;14/06/25;23/06/25 00.00;14/06/25 22.00;25/06/25 09.00;12/06/25;13/06/25;4091.20.00;Customs Clearance;Medium;Dimas Saputra;04/06/25;04/07/25
SHP0057;BKG000057;BL000057;PT Terra Logistics Partners;CIF;LCL;Food Products;59.98;40GP;8;Shanghai;Jakarta;MV Pacific Trader;Pacific Horizon Shipping;11/11/24;22/11/24 00.00;11/11/24 06.00;;09/11/24;10/11/24;7122.20.00;At Origin;Low;Rizky Kurniawan;01/11/24;27/11/24
SHP0058;BKG000058;BL000058;PT Infinity Manufacturing;FOB;FCL;Chemicals;09.24;40HC;6;Busan;Jakarta;MV Ocean Star;OceanLink Shipping;28/03/25;08/04/25 00.00;28/03/25 15.00;;26/03/25;27/03/25;4950.60;At Origin;Low;Budi Santoso;18/03/25;31/03/25
SHP0059;BKG000059;BL000059;PT Infinity Manufacturing;DAP;FCL;Chemicals;0,345138889;40GP;5;Shanghai;Surabaya;MV Blue Horizon;OceanLink Shipping;18/05/25;25/05/25 00.00;;;16/05/25;17/05/25;5690.16.00;At Origin;High;Budi Santoso;08/05/25;04/06/25
SHP0060;BKG000060;BL000060;PT Crescent Holdings;DAP;LCL;Consumer Electronics;19.51;40GP;3;Busan;Surabaya;MV Ocean Star;BlueWave Lines;31/08/24;09/09/24 00.00;31/08/24 01.00;08/09/24 19.00;29/08/24;30/08/24;4090.40.00;Customs Clearance;Medium;Cindy Wijaya;21/08/24;02/09/24
SHP0061;BKG000061;BL000061;PT Prime Components;FOB;LCL;Textiles;57.42.00;40GP;6;Port Klang;Jakarta;MV Crystal Mariner;Maritime Connect Lines;16/08/25;26/08/25 00.00;16/08/25 07.00;28/08/25 14.00;14/08/25;15/08/25;7281.80;Delivered;Low;Yoga Mahendra;06/08/25;22/08/25
SHP0062;BKG000062;BL000062;PT Nexus Manufacturing;DAP;FCL;Consumer Electronics;21.50;40GP;7;Shenzhen;Jakarta;MV Ocean Star;TransMarine Logistics;13/11/24;27/11/24 00.00;13/11/24 08.00;26/11/24 04.00;11/11/24;12/11/24;5386.00.00;Delivered;Low;Cindy Wijaya;03/11/24;14/11/24
SHP0063;BKG000063;BL000063;PT Nova Electronics;DAP;FCL;Chemicals;34.23.00;40GP;3;Shanghai;Jakarta;MV Ocean Star;BlueWave Lines;27/02/25;13/03/25 00.00;;;25/02/25;26/02/25;5275.44.00;At Origin;High;Andi Pratama;17/02/25;04/03/25
SHP0064;BKG000064;BL000064;PT Crescent Holdings;FOB;LCL;Textiles;58.81;40GP;8;Shanghai;Jakarta;MV Pacific Trader;Pacific Horizon Shipping;12/01/24;21/01/24 00.00;15/01/24 00.00;23/01/24 02.00;10/01/24;11/01/24;7859.40.00;Delivered;Low;Cindy Wijaya;02/01/24;
SHP0065;BKG000065;BL000065;PT Nova Electronics;CIF;FCL;Food Products;19.56;40HC;7;Hong Kong;Jakarta;MV Ocean Star;Global Route Shipping;03/11/25;11/11/25 00.00;05/11/25 00.00;14/11/25 19.00;01/11/25;02/11/25;6339.40.00;Delivered;Low;Budi Santoso;24/10/25;21/11/25
SHP0066;BKG000066;BL000066;PT Velocity Electronics;EXW;FCL;Chemicals;89.70;40GP;4;Busan;Jakarta;MV Ocean Star;OceanLink Shipping;02/11/25;18/11/25 00.00;02/11/25 01.00;20/11/25 04.00;31/10/25;01/11/25;7981.00.00;Customs Clearance;Low;Andi Pratama;23/10/25;20/11/25
SHP0067;BKG000067;BL000067;PT Prime Components;CIF;FCL;Textiles;03.34;40GP;4;Busan;Jakarta;MV Ocean Star;BlueWave Lines;29/10/24;12/11/24 00.00;29/10/24 14.00;;27/10/24;28/10/24;5159.60;At Origin;Medium;Dimas Saputra;19/10/24;06/11/24
SHP0068;BKG000068;BL000068;PT Vertex Manufacturing;EXW;LCL;Textiles;388.00.00;20GP;26;Busan;Jakarta;MV Crystal Mariner;OceanLink Shipping;03/07/25;10/07/25 00.00;;;01/07/25;02/07/25;32048.00;At Origin;Low;Andi Pratama;23/06/25;09/07/25
SHP0069;BKG000069;BL000069;PT Skyline Distribution;CIF;FCL;Consumer Electronics;0,254861111;40HC;1;Busan;Jakarta;MV Coral Voyager;Archipelago Maritime;19/12/24;05/01/25 00.00;19/12/24 04.00;05/01/25 07.00;17/12/24;18/12/24;4762.56.00;Customs Clearance;High;Andi Pratama;09/12/24;22/12/24
SHP0070;BKG000070;BL000070;PT Summit Foods;CIF;FCL;Consumer Electronics;0,234722222;40HC;2;Busan;Semarang;MV Blue Horizon;Pacific Horizon Shipping;09/09/24;20/09/24 00.00;08/09/24 20.00;;07/09/24;08/09/24;4410.20.00;In Transit;Low;Maya Putri;30/08/24;20/09/24
SHP0071;BKG000071;BL000071;PT Alpha Manufacturing;DAP;LCL;Industrial Equipment;56.41.00;20GP;7;Singapore;Jakarta;MV Aurora Navigator;OceanVista Carriers;11/01/25;18/01/25 00.00;10/01/25 18.00;20/01/25 00.00;09/01/25;10/01/25;10184.88;Delivered;High;Andi Pratama;01/01/25;14/01/25
SHP0072;BKG000072;BL000072;PT Sapphire Consumer;FOB;FCL;Industrial Equipment;45.19.00;40GP;3;Shenzhen;Jakarta;MV Eastern Pearl;OceanLink Shipping;22/10/24;04/11/24 00.00;22/10/24 20.00;;20/10/24;21/10/24;6069.60;In Transit;Low;Andi Pratama;12/10/24;30/10/24
SHP0073;BKG000073;BL000073;PT Atlas Components;FOB;LCL;Industrial Equipment;10.37;40GP;2;Shenzhen;Semarang;MV Coastal Venture;BlueWave Lines;14/12/25;24/12/25 00.00;14/12/25 12.00;;12/12/25;13/12/25;3519.80;At Origin;Low;Budi Santoso;04/12/25;22/12/25
SHP0074;BKG000074;BL000074;PT Falcon Dynamics;FOB;LCL;Textiles;30.75;20GP;8;Busan;Jakarta;MV Ocean Star;Eastern Cargo Line;11/09/25;22/09/25 00.00;18/09/25 00.00;;09/09/25;10/09/25;7032.00.00;Customs Clearance;Medium ;Dimas Saputra;01/09/25;22/09/25
SHP0075;BKG000075;BL000075;PT Alpha Manufacturing;CIF;FCL;Cntr Parts;338.00.00;40HC;17;Shanghai;Jakarta;MV Coral Voyager;OceanVista Carriers;04/11/24;19/11/24 00.00;04/11/24 00.00;19/11/24 20.00;02/11/24;03/11/24;44924.00;Delivered;Low;Cindy Wijaya;25/10/24;08/11/24
SHP0076;BKG000076;BL000076;PT Prime Components;EXW;LCL;Cntr Parts;0,501388889;20GP;5;Shanghai;Jakarta;MV Atlas Voyager;BlueWave Lines;31/10/24;12/11/24 00.00;31/10/24 20.00;;29/10/24;30/10/24;5761.80;At Origin;Low;Andi Pratama;21/10/24;10/11/24
SHP0077;BKG000077;BL000077;PT Harbor Distribution;EXW;LCL;Chemicals;60.77;40HC;4;Busan;Jakarta;MV Coral Voyager;Pacific Horizon Shipping;05/09/24;22/09/24 00.00;10/09/24 00.00;22/09/24 03.00;03/09/24;04/09/24;7254.80;Customs Clearance;Low;Budi Santoso;26/08/24;13/09/24
SHP0078;BKG000078;BL000078;PT Atlas Components;EXW;LCL;Consumer Electronics;56.70;40GP;3;Busan;Surabaya;MV Blue Horizon;OceanLink Shipping;09/03/25;16/03/25 00.00;10/03/25 00.00;15/03/25 01.00;07/03/25;08/03/25;4981.00.00;Delivered;Medium;Rizky Kurniawan;27/02/25;27/03/25
SHP0079;BKG000079;BL000079;PT Zenith Industrial;FOB;LCL;Textiles;20.04;40GP;1;Busan;Surabaya;MV Silver Current;BlueWave Lines;22/12/24;30/12/24 00.00;;;20/12/24;21/12/24;3203.60;At Origin;Medium;Indah Permata;12/12/24;28/12/24
SHP0080;BKG000080;BL000080;PT Zenith Industrial;FOB;LCL;Industrial Equipment;35.60;20GP;1;Singapore;Jakarta;MV Southern Crest;OceanVista Carriers;30/12/24;03/01/25 00.00;04/01/25 00.00;05/01/25 12.00;28/12/24;29/12/24;5129.00.00;Customs Clearance;Low ;Budi Santoso;20/12/24;07/01/25
SHP0081;BKG000081;BL000081;PT Zenith Industrial;EXW;FCL;Chemicals;13.38;20GP;4;Shenzhen;Semarang;MV Meridian Star;TransMarine Logistics;05/02/25;19/02/25 00.00;05/02/25 22.00;;03/02/25;04/02/25;5101.20.00;In Transit;Medium;Fajar Nugroho;26/01/25;19/02/25
SHP0082;BKG000082;BL000082;PT Zenith Industrial;DAP;FCL;Industrial Equipment;63.97;40HC;5;Shenzhen;Semarang;MV Horizon Carrier;Pacific Horizon Shipping;25/04/25;06/05/25 00.00;25/04/25 22.00;07/05/25 00.00;23/04/25;24/04/25;7286.80;Customs Clearance;Low;Andi Pratama;15/04/25;05/05/25
SHP0083;BKG000083;BL000083;PT Zenith Industrial;CIF;LCL;Food Products;07.02;40HC;6;Shanghai;Jakarta;MV Ocean Explorer;Pacific Horizon Shipping;06/01/25;15/01/25 00.00;05/01/25 20.00;16/01/25 15.00;04/01/25;05/01/25;5431.80;Delivered;Low;Budi Santoso;27/12/24;16/01/25
